title,price,brand,quantity,product_code
"Cadbury Oreo Vanilla Flavour Creme Sandwich Biscuit, 918.75 g (7 Packs x 131.25 g Each)",₹300,Cadbury Oreo,918.75 g,40260443
"Britannia nutri choice Digestive Zero (No Maida & Zero Added Sugar), 6x 100 g Multipack",₹210,Britannia,6x 100 g,1203952
"Haldiram's Namkeen - Moong Dal, 6x30 g Multipack",₹60,Haldiram's,6x30 g,1203930
"Haldiram's Namkeen - Aloo Bhujia, 1 kg Pouch",₹225,Haldiram's,1 kg,20002406
"Kelloggs Corn Flakes - Original, 1.2 Kg",₹490,Kelloggs,1.2 Kg,40179976
"Anil Vermicelli, 450 g Pouch",,Anil,450 g,268653
"Bingo! Original Style Potato Chips - Chilli Sprinkled, 2x90 g Multipack",₹100,Bingo!,2x90 g,1215113
"Kissan Fresh Tomato Ketchup - 100% Real, For Dipping Pakodas, Samosas, 2 kg",₹230,Kissan,2 kg,40212583
"Bambino Vermicelli - Roasted, 850 g Pouch",₹115,Bambino,850 g,100015894
"Britannia Treat - JimJam Biscuits, 2x138 g Multipack",₹70,Britannia,2x138 g,1201310
"Nestle  Kitkat Minis, Chocolate Coated Wafer Bar, Share Bag, 126 g (18 pcs x 7 g Each)",₹149,Nestle,126 g,40122231
"MAGGI  Hot & Sweet Tomato Chilli Sauce, 1 kg Bottle",₹170,MAGGI,1 kg,119705
"PARLE Platina Hide & Seek Chocolate Chip Cookies, 2x200 g Multipack",₹120,PARLE,2x200 g,1203969
"Sunfeast Dark Fantasy Choco Fills, 562.5 g Carton",₹350,Sunfeast,562.5 g,40235654
"Britannia 50-50 Maska Chaska Salted Biscuits, 6x40.5 g Multipack",₹60,Britannia,6x40.5 g,1200144
"Lay's Potato Chips - Classic Salted, 2x90 g Multipack",₹100,Lay's,2x90 g,1212518
"Haldiram's Namkeen - Lite Chiwda, 50 g Pouch",₹10,Haldiram's,50 g,20003288
"Haldiram's Boondi, 2x150 g Multipack",,Haldiram's,2x150 g,1206531
"PARLE Monaco Classic, 700 g",₹120,PARLE,700 g,40204930
"BORGES Durum Wheat Pasta - Penne Rigate, 2x500 g Multipack",₹598,BORGES,2x500 g,1212730
"Cadbury Gems Minis Chocolate Home Treats Pack, 3 x 126.4 g Multipack",₹300,Cadbury Gems,3 x 126.4 g,1219033
"MTR Vermicelli, 850 g Pouch",₹80,MTR,850 g,265947
"Double Horse Synthetic Vinegar, 1 L Plastic Bottle",,Double Horse,1 L,40141933
"Del Monte  Tomato Ketchup - Classic Blend, Rich & Thick Condiment, 900 g Spout Pouch",₹115,Del Monte,900 g,40015686
"Britannia Good Day Butter Cookies, 600 g",₹125,Britannia,600 g,40197806
"Dabur Honey - 100% Pure, No Sugar Adulteration, 1.3 kg Pet Bottle",₹610,Dabur,1.3 kg,40301474
"Paper Boat Chikki, Peanut Bar, 3x96g Multipack",₹126,Paper Boat,3x96g,1215103
"Haldiram's Namkeen - Khatta Meetha, 6x60 g Multipack",₹60,Haldiram's,6x60 g,1203950
"PARLE Krackjack, 700 g",₹120,PARLE,700 g,40204939
"Safal Frozen - Sweet Corn, 1 kg Pouch",₹180,Safal,1 kg,185568
"Beyond Snack Kerala Banana Chips - Original Style, Thin & Crispy, Delicious, 2x125 g Multipack",₹190,Beyond Snack,2x125 g,1228346
"Colgate Charcoal Clean Gel Toothpaste - Bamboo Charcoal & Mint, (2 x 120g) (Saver Pack)",₹370,Colgate,(2 x 120g),40186854
"Mysore Sandal Superior Sandalwood Oil Soap, 150 g Pack of 3",₹243,Mysore Sandal,150 g,100968
"Beardo Activated Charcoal Body Wash, 200 ml",₹299,Beardo,,40157263
"Dove Cream Beauty Bathing Soap Bar Combo, With Moisturising Cream, 125 gm Pack of 8",₹870,Dove,125 gm,40158282
"Dettol Antiseptic Liquid for First Aid , Surface Disinfection, Floor Cleaner and Personal Hygiene,, 1L",₹401,Dettol,1L,40124254
"Dettol Liquid Handwash Refill - Skincare Moisturizing Hand Wash Antibacterial Formula | 10x Better Germ Protection,, 1.5l Refill",₹220,Dettol,1.5l,40160740
"Beardo De-Tan Body Wash For Men, 200 ml",₹299,Beardo,,40187408
"Parachute  Coconut Oil - 100% Pure, 12x1 L Multipack",₹4440,Parachute,12x1 L,1225964
"Pears Pure & Gentle Glycerin & Natural Oils Soap Bar, 98% Pure Glycerine & Natural Oils, 125 g (Pack of 8)",₹680,Pears,125 g,40181143
"Colgate Anticavity Fluoride Toothpaste, 240 g (120g x 2)",₹370,Colgate,240 g,40215312
"Colgate Toothpaste - Maxfresh Spicy Red, Gel, 4x150 g Multipack",₹500,Colgate,4x150 g,1205561
"Colgate Strong Teeth Anticavity Toothpaste, 200 g (Pack of 4)",₹500,Colgate,200 g,1212826
"Sensodyne Toothpaste Combo Pack - Repair & Protect, For Deep Repair Of Sensitive Teeth, 70 g (Pack of 2)",₹390,Sensodyne,70 g,40228313
"Whisper Ultra Clean Sanitary Pads For Women, XL+, 2x50 pcs (Multipack)",₹1318,Whisper,2x50 pcs,1214186
"Colgate Total Sensitive Anti-Germ Protection Toothpaste, 120 g",₹190,Colgate,120 g,40316757
"Whisper Bindazzz Nights Sanitary Pads - Wider Back, Up To 0% Leak, Provides All Night Protection, XXXL, 20 pcs",₹700,Whisper,20 pcs,40186837
"NIVEA Super Saver Pack - Body Milk Nourishing Lotion, 2x600ml (Multipack)",₹1398,NIVEA,2x600ml,1221554
"Colgate Toothpaste - Maxfresh Blue Peppermint Ice, Gel, 4x150 g Multipack",₹544,Colgate,4x150 g,1205560
"Dettol Liquid Handwash Refill - Original | 10x Better Germ Protection, 675 ml (Pack of 3 - 675ml each)",₹297,Dettol,675 ml,1202458
"Dabur Red Paste, Ayurvedic Fluoride Free Paste, 800g (2x400 g) (Multipack)",₹458,Dabur Red,800g (2x400 g),1214523
"Dabur Meswak Toothpaste - For Complete Gum Care, Paraben & Fluoride Free, 600 g (Buy 200 g x 3)",₹357,Dabur Meswak,600 g,40191958
"Whisper Ultra Soft Air Fresh Sanitary Pads - With Wider & Longer Back, XL, 2x50 pcs (Multipack)",₹1250,Whisper,2x50 pcs,1215764
"Gillette Mach 3 Bladed Shaving Cartridges/Razor - With Lubrication Strip, Protects Skin, 16 pcs",₹1840,Gillette,16 pcs,40178581
"Listerine Mouthwash - Cool Mint, 2x500 ml Multipack",₹720,Listerine,2x500 ml,1208096
"STAYFREE Dry Max All Nights XL - Sanitary Pads For Women, 2x42 pcs (Multipack)",₹1198,STAYFREE,2x42 pcs,1215821
"NIVEA Pearl & Beauty Women Deodorant Roll-On - For Smooth & Beautiful Underarms, 2x50 ml (Multipack)",₹498,NIVEA,2x50 ml,1220321
"Godrej Protekt Hand Wash - Masterblaster, 2x725 ml Multipack",₹198,Godrej Protekt,2x725 ml,1202609
